,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
JOKIC,0.0,10.0%,1,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,0.0,33.3%,1,N/A,0,N/A,0,N/A
GORDON,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
BRYANT,0.53,18.8%,0,0.0%,0.53,26.9%,0,0.0%,1,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
NNAJI,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
OTHERS,0.0,10.0%,0,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A,0.0,33.3%,0,0.0%,1,0.0%,0,N/A
ISO,0.0,10.0%,0,0.0%,0.0,14.3%,0,0.0%,0,N/A,1,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Transition,0.0,10.0%,1,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,0.0,33.3%,1,N/A,0,N/A,0,N/A
Attacking Closeouts,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Catch & Shoot,0.0,50.0%,0,0.0%,0.0,71.4%,0,0.0%,0,N/A,5,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
PNR / DHO,0.33,30.0%,1,0.0%,1.0,33.3%,0,0.0%,1,0.0%,0,N/A,0,66.7%,1,0.0%,1,0.0%,0,N/A
TOTAL,0.09,10,2,0.0%,0.13,70.0%,0,0.0%,1,0.0%,6,0.0%,0.0,30.0%,2,0.0%,1,0.0%,0,nan%
