,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
MURRAY,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
KCP,0.0,2.6%,0,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A,0.0,5.0%,0,0.0%,1,0.0%,0,N/A
PORTER,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
BROWN,1.0,5.3%,0,50.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A,1.0,10.0%,0,50.0%,1,100.0%,1,0.0%
OTHERS,1.4,13.2%,0,60.0%,1.25,22.2%,0,50.0%,1,100.0%,3,33.3%,2.0,5.0%,0,100.0%,1,100.0%,0,N/A
ISO,0.63,41.5%,4,40.0%,0.58,38.2%,1,40.0%,4,50.0%,1,0.0%,0.68,44.4%,3,40.0%,2,50.0%,3,33.3%
Transition,0.89,17.8%,1,50.0%,1.0,11.1%,0,50.0%,2,50.0%,0,N/A,0.84,23.8%,1,50.0%,1,100.0%,1,0.0%
Attacking Closeouts,1.0,7.9%,1,50.0%,0.0,5.6%,1,N/A,0,N/A,0,N/A,1.5,10.0%,0,50.0%,0,N/A,2,50.0%
Catch & Shoot,2.0,7.9%,0,66.7%,2.0,16.7%,0,66.7%,0,N/A,3,66.7%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,1.5,5.3%,0,50.0%,0.0,5.6%,0,0.0%,0,N/A,1,0.0%,3.0,5.0%,0,100.0%,0,N/A,1,100.0%
Cutting,1.14,2.3%,0,N/A,1.14,4.9%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
PNR / DHO,1.12,21.1%,0,50.0%,1.25,50.0%,0,50.0%,1,100.0%,3,33.3%,1,50.0%,0,50.0%,3,66.7%,1,0.0%
TOTAL,0.96,38,6,48.3%,0.96,47.4%,2,46.7%,7,57.1%,8,37.5%,0.97,52.6%,4,50.0%,6,66.7%,8,37.5%
