,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.0,7.4,1,100.0,1.0,15.4,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
PNR Screener,2.0,3.7,0,100.0,N/A,0.0,N/A,0,N/A,0,N/A,2.0,7.1,100.0,1,100.0,0,N/A
DHO Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,0.67,22.2,0,33.3,0.0,7.7,0.0,1,0.0,0,N/A,0.8,35.7,40.0,5,40.0,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,2.0,3.7,0,100.0,2.0,7.7,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.25,41.5,0,55.6,1.11,48.6,60.0,5,60.0,0,N/A,1.43,34.9,50.0,2,50.0,2,50.0
TRANSITION,1.0,7.4,0,50.0,N/A,0.0,N/A,0,N/A,0,N/A,1.0,14.3,50.0,1,100.0,1,0.0
Attacking Closeouts,1.5,7.4,0,50.0,0.0,7.7,0.0,1,0.0,0,N/A,3.0,7.1,100.0,0,N/A,1,100.0
Catch & Shoot,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,2.0,3.7,0,100.0,2.0,7.7,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,0.0,7.4,0,0.0,0.0,7.7,0.0,1,0.0,0,N/A,0.0,7.1,0.0,1,0.0,0,N/A
TOTAL,1.1,27,3.7,52.0,0.98,48.1,54.5,11,54.5,0,N/A,1.21,51.9,50.0,10,50.0,4,50.0
