,JOKIC,GORDON,BRYANT,NNAJI,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,TOTAL
Total PPP,2.0,N/A,0.0,N/A,N/A,0.0,0.67,0.0,3.0,0.0,N/A,N/A,1.0
% of Poss.,16.7%,0.0%,8.3%,0.0%,0.0%,16.7%,25.0%,8.3%,16.7%,8.3%,0.0%,0.0%,12
Total FG%,100.0%,N/A,N/A,N/A,N/A,0.0%,33.3%,N/A,100.0%,0.0%,N/A,N/A,55.6%
Shooting PPP,2.0,N/A,N/A,N/A,N/A,N/A,0.0,0.0,3.0,0.0,N/A,N/A,1.33
% of Shooting Poss.,16.7%,0.0%,0.0%,0.0%,0.0%,0.0%,16.7%,16.7%,33.3%,16.7%,0.0%,0.0%,50.0% | 5
Shooting FG%,100.0%,N/A,N/A,N/A,N/A,N/A,0.0%,N/A,100.0%,0.0%,N/A,N/A,60.0%
Shooting 2pt Att.,1,0,0,0,0,0,0,0,0,1,0,0,2
Shooting 2pt FG%,100.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,N/A,N/A,50.0%
Shooting 3pt Att.,0,0,0,0,0,0,1,0,2,0,0,0,3
Shooting 3pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,N/A,100.0%,N/A,N/A,N/A,66.7%
Passing PPP,2.0,N/A,0.0,N/A,N/A,0.0,1.0,N/A,N/A,N/A,N/A,N/A,0.67
% of Passing Poss.,16.7%,0.0%,16.7%,0.0%,0.0%,33.3%,33.3%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0% | 4
Passing FG%,100.0%,N/A,N/A,N/A,N/A,0.0%,50.0%,N/A,N/A,N/A,N/A,N/A,50.0%
Passing 2pt Att.,1,0,0,0,0,0,1,0,0,0,0,0,2
Passing 2pt FG%,100.0%,N/A,N/A,N/A,N/A,N/A,100.0%,N/A,N/A,N/A,N/A,N/A,100.0%
Passing 3pt Att.,0,0,0,0,0,1,1,0,0,0,0,0,2
Passing 3pt FG%,N/A,N/A,N/A,N/A,N/A,0.0%,0.0%,N/A,N/A,N/A,N/A,N/A,0.0%
