,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.0,16.0,1,66.7,1.33,20.0,100.0,2,100.0,0,N/A,0.0,10.0,0.0,1,0.0,0,N/A
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,1.67,12.0,0,66.7,1.67,20.0,66.7,1,100.0,2,50.0,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,3.0,4.0,0,100.0,N/A,0.0,N/A,0,N/A,0,N/A,3.0,10.0,100.0,0,N/A,1,100.0
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.57,28.0,1,66.7,0.75,26.7,33.3,2,0.0,1,100.0,2.67,30.0,100.0,1,100.0,2,100.0
TRANSITION,1.2,20.0,0,60.0,1.0,13.3,50.0,1,100.0,1,0.0,1.33,30.0,66.7,2,100.0,1,0.0
Attacking Closeouts,2.13,7.5,0,100.0,N/A,0.0,N/A,0,N/A,0,N/A,2.13,18.8,100.0,0,N/A,1,100.0
Catch & Shoot,1.5,8.0,0,50.0,1.5,13.3,50.0,0,N/A,2,50.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,1.0,8.0,0,50.0,2.0,6.7,100.0,1,100.0,0,N/A,0.0,10.0,0.0,0,N/A,1,0.0
TOTAL,1.47,25,8.0,65.2,1.27,60.0,61.5,7,71.4,6,50.0,1.75,40.0,70.0,4,75.0,6,66.7
