,JOKIC,GORDON,BRYANT,NNAJI,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,PNR,TOTAL
Total PPP,1.5,N/A,N/A,N/A,0.0,0.4,1.4,2.0,1.0,N/A,N/A,N/A,1.36,1.25
% of Poss.,39.5%,0.0%,0.0%,0.0%,2.3%,14.0%,18.6%,16.3%,9.3%,0.0%,0.0%,0.0%,41.9%,43
Total FG%,60.0%,N/A,N/A,N/A,0.0%,25.0%,75.0%,75.0%,33.3%,N/A,N/A,N/A,54.5%,53.8%
Shooting PPP,0.5,N/A,N/A,N/A,0.0,0.5,1.5,1.67,1.0,N/A,N/A,N/A,0.4,0.88
% of Shooting Poss.,21.7%,0.0%,0.0%,0.0%,4.3%,21.7%,13.0%,21.7%,17.4%,0.0%,0.0%,0.0%,33.3% | 5,53.5% | 17
Shooting FG%,25.0%,N/A,N/A,N/A,0.0%,25.0%,50.0%,66.7%,33.3%,N/A,N/A,N/A,20.0%,35.3%
Shooting 2pt Att.,2,0,0,0,1,3,0,2,0,0,0,0,3,8
Shooting 2pt FG%,50.0%,N/A,N/A,N/A,0.0%,33.3%,N/A,50.0%,N/A,N/A,N/A,N/A,33.3%,37.5%
Shooting 3pt Att.,2,0,0,0,0,1,2,1,3,0,0,0,2,9
Shooting 3pt FG%,0.0%,N/A,N/A,N/A,N/A,0.0%,50.0%,100.0%,33.3%,N/A,N/A,N/A,0.0%,33.3%
Passing PPP,2.17,N/A,N/A,N/A,N/A,0.0,1.33,3.0,N/A,N/A,N/A,N/A,2.17,1.82
% of Passing Poss.,60.0%,0.0%,0.0%,0.0%,0.0%,5.0%,25.0%,10.0%,0.0%,0.0%,0.0%,0.0%,66.7% | 6,46.5% | 9
Passing FG%,83.3%,N/A,N/A,N/A,N/A,N/A,100.0%,100.0%,N/A,N/A,N/A,N/A,83.3%,88.9%
Passing 2pt Att.,3,0,0,0,0,0,2,0,0,0,0,0,3,5
Passing 2pt FG%,100.0%,N/A,N/A,N/A,N/A,N/A,100.0%,N/A,N/A,N/A,N/A,N/A,100.0%,100.0%
Passing 3pt Att.,3,0,0,0,0,0,0,1,0,0,0,0,3,4
Passing 3pt FG%,66.7%,N/A,N/A,N/A,N/A,N/A,N/A,100.0%,N/A,N/A,N/A,N/A,66.7%,75.0%
