,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.76,45.4,2,38.5,0.51,39.4,16.7,3,33.3,3,0.0,1.0,53.3,57.1,5,80.0,2,0.0
PNR Screener,0.0,2.9,1,N/A,0.0,5.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,3.0,2.9,0,100.0,N/A,0.0,N/A,0,N/A,0,N/A,3.0,6.7,100.0,0,N/A,1,100.0
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.71,28.2,1,37.5,0.73,34.4,33.3,5,40.0,1,0.0,0.67,20.0,50.0,2,50.0,0,N/A
TRANSITION,1.0,8.6,0,33.3,N/A,0.0,N/A,0,N/A,0,N/A,1.0,20.0,33.3,0,N/A,3,33.3
Attacking Closeouts,2.0,2.9,0,100.0,2.0,5.0,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Catch & Shoot,1.5,5.7,0,50.0,1.5,10.0,50.0,0,N/A,2,50.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,5.7,0,0.0,0.0,10.0,0.0,1,0.0,1,0.0,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,0.84,35,11.4,40.0,0.67,57.1,29.4,10,40.0,7,14.3,1.07,42.9,53.8,7,71.4,6,33.3
