,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.28,35.4,1,53.8,1.56,40.3,60.0,5,60.0,5,60.0,0.5,26.7,33.3,1,100.0,2,0.0
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,1.5,9.5,0,50.0,2.0,11.1,66.7,0,N/A,3,66.7,0.0,6.7,0.0,0,N/A,1,0.0
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.67,14.3,0,33.3,1.0,7.4,50.0,2,50.0,0,N/A,0.5,26.7,25.0,1,100.0,3,0.0
TRANSITION,1.13,27.4,1,42.9,1.38,24.1,33.3,1,100.0,2,0.0,0.8,33.3,50.0,2,100.0,2,0.0
Attacking Closeouts,0.0,2.4,0,0.0,0.0,3.7,0.0,1,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Catch & Shoot,0.6,11.9,0,20.0,0.75,14.8,25.0,0,N/A,4,25.0,0.0,6.7,0.0,0,N/A,1,0.0
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.06,42,4.8,41.7,1.35,64.3,47.8,9,55.6,14,42.9,0.53,35.7,30.8,4,100.0,9,0.0
