,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.45,34.4,1,60.0,1.5,12.5,50.0,1,0.0,1,100.0,1.44,56.2,62.5,3,66.7,5,60.0
PNR Screener,3.0,3.1,0,100.0,N/A,0.0,N/A,0,N/A,0,N/A,3.0,6.2,100.0,0,N/A,1,100.0
DHO Ball Handler,1.09,20.1,1,60.0,1.58,27.7,75.0,3,100.0,1,0.0,0.0,12.5,0.0,0,N/A,1,0.0
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.14,21.9,0,42.9,0.5,25.0,25.0,3,33.3,1,0.0,2.0,18.8,66.7,1,0.0,2,100.0
TRANSITION,2.05,15.2,0,75.0,1.8,24.2,66.7,2,50.0,1,100.0,3.0,6.2,100.0,0,N/A,1,100.0
Attacking Closeouts,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Catch & Shoot,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,0.0,6.2,0,0.0,0.0,12.5,0.0,2,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.36,32,6.2,55.2,1.16,50.0,46.7,11,45.5,4,50.0,1.56,50.0,64.3,4,50.0,10,70.0
