,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
JOKIC,1.75,38.7%,90.0%,1.57,36.8%,83.3%,4,100.0%,2,50.0%,2.0,41.7%,100.0%,2,100.0%,2,100.0%
GORDON,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
BRYANT,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
NNAJI,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,0.0,3.2%,0.0%,0.0,5.3%,0.0%,0,N/A,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,0.83,19.4%,33.3%,0.5,21.1%,25.0%,2,50.0%,2,0.0%,1.5,16.7%,50.0%,1,0.0%,1,100.0%
Transition,1.14,25.4%,50.0%,2.43,15.2%,100.0%,2,100.0%,0,N/A,0.4,41.7%,25.0%,1,100.0%,3,0.0%
Attacking Closeouts,3.0,3.2%,100.0%,3.0,5.3%,100.0%,0,N/A,1,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Catch & Shoot,2.25,12.9%,75.0%,2.25,21.1%,75.0%,0,N/A,4,75.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,1.62,41.9%,81.8%,1.38,61.5%,71.4%,4,100.0%,3,33.3%,2,38.5%,100.0%,2,100.0%,2,100.0%
TOTAL,1.47,31,64.3%,1.61,61.3%,66.7%,8,87.5%,10,50.0%,1.25,38.7%,60.0%,4,75.0%,6,50.0%
