,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.58,7.2,1,27.3,0.4,4.6,20.0,2,50.0,3,0.0,0.71,11.9,33.3,3,33.3,3,33.3
PNR Screener,0.78,5.4,1,37.5,0.67,5.6,40.0,4,50.0,1,0.0,1.0,5.1,33.3,1,0.0,2,50.0
DHO Ball Handler,0.5,2.4,0,25.0,0.0,1.9,0.0,0,N/A,2,0.0,1.0,3.4,50.0,1,100.0,1,0.0
DHO Screener,0.67,1.8,0,33.3,N/A,0.0,N/A,0,N/A,0,N/A,0.67,5.1,33.3,1,100.0,2,0.0
DBL Ball Handler,0.0,0.6,0,0.0,0.0,0.9,0.0,1,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.93,14.2,4,47.1,1.07,15.5,46.7,12,58.3,3,0.0,0.58,11.7,50.0,1,100.0,1,0.0
TRANSITION,1.33,18.4,2,66.7,1.55,15.5,78.6,13,84.6,1,0.0,1.07,23.7,53.8,8,75.0,5,20.0
Attacking Closeouts,0.7,12.0,2,33.3,0.46,12.0,25.0,10,30.0,2,0.0,1.14,11.9,50.0,3,33.3,3,66.7
Catch & Shoot,0.82,19.8,0,27.3,0.8,27.8,26.7,2,0.0,28,28.6,1.0,5.1,33.3,0,N/A,3,33.3
Off Ball Screens,1.0,1.2,0,50.0,1.0,1.9,50.0,1,100.0,1,0.0,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,1.13,8.0,1,54.5,1.39,8.6,62.5,8,62.5,0,N/A,0.5,6.8,33.3,1,100.0,2,0.0
Off. Rebounds,1.2,10.0,1,46.2,1.51,6.1,50.0,3,66.7,1,0.0,1.0,16.9,44.4,2,100.0,7,28.6
TOTAL,0.94,167,7.2,41.9,0.97,64.7,40.8,56,57.1,42,19.0,0.9,35.3,44.0,21,66.7,29,27.6
