Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,8,2,2,1,0,0,13,10,1,0,1,7,5
shoot2FGM,4,1,0,0,0,0,8,7,0,0,0,3,2
shoot2FTA,2,0,0,0,0,0,6,8,2,0,0,0,0
shoot2FTM,2,0,0,0,0,0,5,7,2,0,0,0,0
shoot2TO,0,0,0,0,0,0,1,0,2,0,0,0,0
shoot3FGA,5,1,4,0,0,0,1,6,0,16,4,0,0
shoot3FGM,3,0,3,0,0,0,0,2,0,4,2,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,0,0,0,0,0,0,0
pass2FGA,2,0,1,3,0,0,9,8,0,0,1,1,0
pass2FGM,1,0,0,0,0,0,4,5,0,0,1,0,0
pass2FTA,0,0,0,0,0,0,2,0,0,0,0,0,0
pass2FTM,0,0,0,0,0,0,2,0,0,0,0,0,0
pass2TO,1,1,0,0,0,0,2,1,0,0,0,0,0
pass3FGA,2,0,1,4,0,0,10,11,0,1,0,0,1
pass3FGM,0,0,0,3,0,0,2,5,0,0,0,0,1
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,0,0,0,0,0,3,3,0,0,0,0,0
