Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,8,3,4,1,1,1,15,12,2,2,2,5,6
shoot2FGM,3,2,3,1,1,1,7,8,1,1,1,3,4
shoot2FTA,2,2,2,0,0,0,4,5,2,0,6,0,0
shoot2FTM,2,1,2,0,0,0,4,3,1,0,5,0,0
shoot2TO,4,0,0,0,0,0,1,0,1,0,1,0,0
shoot3FGA,5,2,3,0,0,0,3,2,0,5,2,0,0
shoot3FGM,3,1,1,0,0,0,1,1,0,2,1,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,1,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,1,0,0
shoot3TO,1,0,0,0,0,0,0,0,0,0,0,0,0
pass2FGA,3,1,1,2,1,0,5,7,0,0,0,1,0
pass2FGM,2,1,1,2,1,0,3,6,0,0,0,1,0
pass2FTA,2,0,0,2,0,0,2,2,0,0,0,0,0
pass2FTM,1,0,0,2,0,0,2,1,0,0,0,0,0
pass2TO,0,1,0,0,0,0,0,0,0,0,1,0,0
pass3FGA,4,0,0,3,0,0,3,1,0,0,1,0,0
pass3FGM,1,0,0,1,0,0,3,1,0,0,0,0,0
pass3FTA,0,0,0,0,0,0,1,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,1,0,0,0,0,0,0
pass3TO,0,0,0,0,0,0,0,0,0,0,0,0,0
