,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ALLEN,1.04,8.2%,50.0%,1.14,4.4%,N/A,0,N/A,0,N/A,1.0,13.3%,50.0%,2,50.0%,0,N/A
MOBLEY,1.27,22.5%,57.1%,0.5,20.0%,25.0%,4,25.0%,0,N/A,2.06,25.9%,100.0%,2,100.0%,1,100.0%
LEVERT,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
MITCHELL,3.0,2.9%,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A,3.0,6.7%,100.0%,0,N/A,1,100.0%
OTHERS,0.0,5.7%,0.0%,0.0,10.0%,0.0%,1,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,1.29,20.0%,66.7%,1.0,10.0%,50.0%,2,50.0%,0,N/A,1.4,33.3%,75.0%,2,100.0%,2,50.0%
Transition,0.67,25.7%,33.3%,0.67,30.0%,33.3%,4,50.0%,2,0.0%,0.67,20.0%,33.3%,2,50.0%,1,0.0%
Attacking Closeouts,2.0,8.6%,100.0%,1.5,10.0%,100.0%,0,N/A,1,100.0%,3.0,6.7%,100.0%,0,N/A,1,100.0%
Catch & Shoot,1.0,8.6%,33.3%,1.0,15.0%,33.3%,0,N/A,3,33.3%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,2.9%,0.0%,0.0,5.0%,0.0%,0,N/A,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,1.33,34.3%,54.5%,0.5,50.0%,20.0%,5,20.0%,0,N/A,2,50.0%,83.3%,4,75.0%,2,100.0%
TOTAL,1.09,35,50.0%,0.72,57.1%,33.3%,11,36.4%,7,28.6%,1.57,42.9%,71.4%,8,75.0%,6,66.7%
