,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ALLEN,1.17,15.8%,50.0%,1.17,18.2%,50.0%,4,50.0%,2,50.0%,N/A,0.0%,N/A,0,N/A,0,N/A
MOBLEY,0.33,15.8%,16.7%,0.5,12.1%,25.0%,4,25.0%,0,N/A,0.0,40.0%,0.0%,0,N/A,2,0.0%
LEVERT,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
GARLAND,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,1.67,7.9%,66.7%,1.67,9.1%,66.7%,1,100.0%,2,50.0%,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,1.6,31.3%,70.0%,1.56,33.0%,66.7%,6,83.3%,3,33.3%,2.0,20.0%,100.0%,1,100.0%,0,N/A
Transition,1.8,10.2%,100.0%,1.74,8.7%,100.0%,2,100.0%,0,N/A,2.0,20.0%,100.0%,1,100.0%,0,N/A
Attacking Closeouts,1.25,10.5%,66.7%,1.67,9.1%,66.7%,3,66.7%,0,N/A,0.0,20.0%,N/A,0,N/A,0,N/A
Catch & Shoot,1.0,7.9%,33.3%,1.0,9.1%,33.3%,0,N/A,3,33.3%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,2.6%,0.0%,0.0,3.0%,0.0%,0,N/A,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,0.93,39.5%,40.0%,1.08,86.7%,46.2%,9,44.4%,4,50.0%,0,13.3%,0.0%,0,N/A,2,0.0%
TOTAL,1.24,38,54.3%,1.3,86.8%,54.8%,20,65.0%,11,36.4%,0.8,13.2%,50.0%,2,100.0%,2,0.0%
