Shot Type,ROB,HORFORD,GRANT,SMART,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,2,10,3,0,8,66,29,33,0,6,6,1
shoot2FGM,0,7,3,0,4,38,24,21,0,3,3,1
shoot2FTA,0,2,0,0,6,20,16,15,0,0,0,0
shoot2FTM,0,1,0,0,4,19,13,10,0,0,0,0
shoot2TO,0,4,0,0,2,9,7,4,0,0,0,0
shoot3FGA,0,1,1,0,1,9,5,0,49,7,0,0
shoot3FGM,0,1,0,0,0,6,2,0,11,4,0,0
shoot3FTA,0,3,0,3,0,0,0,0,0,0,0,0
shoot3FTM,0,3,0,3,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,2,0,0,0,0,0,0
pass2FGA,0,1,0,0,1,7,4,0,0,0,0,0
pass2FGM,0,0,0,0,1,3,3,0,0,0,0,0
pass2FTA,0,0,0,0,0,2,2,0,0,0,0,0
pass2FTM,0,0,0,0,0,1,0,0,0,0,0,0
pass2TO,0,1,0,0,2,0,0,0,0,0,1,0
pass3FGA,1,4,2,2,5,10,5,6,0,0,0,0
pass3FGM,0,1,1,2,3,5,4,2,0,0,0,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,0,0,0,0,2,0,0,0,0,0,0
