,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.58,9.8,1,20.0,0.0,8.5,0.0,1,0.0,2,0.0,1.39,12.5,50.0,1,0.0,1,100.0
PNR Screener,3.0,1.4,0,100.0,3.0,2.1,100.0,0,N/A,1,100.0,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,3.0,1.4,0,100.0,3.0,2.1,100.0,0,N/A,1,100.0,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,0.67,4.3,0,33.3,0.67,6.4,33.3,3,33.3,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.6,33.3,2,30.0,0.82,28.6,45.5,9,44.4,2,50.0,0.3,43.0,11.1,3,33.3,6,0.0
TRANSITION,1.1,22.1,3,58.3,0.92,11.6,50.0,4,50.0,0,N/A,1.2,43.5,62.5,4,75.0,4,50.0
Attacking Closeouts,1.12,11.4,1,57.1,0.86,14.9,50.0,5,60.0,1,0.0,3.0,4.3,100.0,0,N/A,1,100.0
Catch & Shoot,0.0,7.1,0,0.0,0.0,10.6,0.0,0,N/A,5,0.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,1.4,0,0.0,0.0,2.1,0.0,1,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,1.43,7.0,0,75.0,1.43,10.4,75.0,4,75.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,1.0,2.9,0,50.0,1.0,4.3,50.0,2,50.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,0.85,70,10.0,41.0,0.82,67.1,41.5,29,48.3,12,25.0,0.93,32.9,40.0,8,50.0,12,33.3
