,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ROB,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
HORFORD,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
GRANT,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
SMART,2.71,7.1%,100.0%,2.27,4.3%,N/A,0,N/A,0,N/A,3.0,12.5%,100.0%,0,N/A,2,100.0%
OTHERS,1.01,23.1%,50.0%,0.77,12.5%,33.3%,3,33.3%,0,N/A,1.14,43.8%,60.0%,1,100.0%,4,50.0%
ISO,0.86,29.5%,45.5%,0.92,35.1%,44.4%,6,50.0%,3,33.3%,0.67,18.8%,50.0%,1,100.0%,1,0.0%
Transition,1.5,15.6%,66.7%,1.45,11.1%,66.7%,2,100.0%,1,0.0%,1.55,24.2%,66.7%,0,N/A,3,66.7%
Attacking Closeouts,0.85,12.5%,40.0%,1.02,15.7%,50.0%,4,50.0%,0,N/A,0.0,6.2%,0.0%,0,N/A,1,0.0%
Catch & Shoot,0.0,6.4%,0.0%,0.0,9.7%,0.0%,0,N/A,3,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,2.0,2.1%,100.0%,2.0,3.2%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,1.0,4.3%,50.0%,1.0,6.5%,50.0%,2,50.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,2.0,2.1%,100.0%,2.0,3.2%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,1.43,29.8%,60.0%,1.2,35.7%,33.3%,3,33.3%,0,N/A,2,64.3%,71.4%,1,100.0%,6,66.7%
TOTAL,1.12,47,51.3%,1.02,66.0%,46.2%,19,57.9%,7,14.3%,1.3,34.0%,61.5%,2,100.0%,11,54.5%
