,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.4,31.5,0,57.1,1.39,28.8,50.0,1,0.0,1,100.0,1.4,33.3,60.0,4,50.0,1,100.0
PNR Screener,3.0,4.0,0,100.0,N/A,0.0,N/A,0,N/A,0,N/A,3.0,6.7,100.0,0,N/A,1,100.0
DHO Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,2.0,4.0,0,100.0,N/A,0.0,N/A,0,N/A,0,N/A,2.0,6.7,100.0,1,100.0,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.92,27.0,0,80.0,1.06,18.8,0.0,1,0.0,0,N/A,2.25,32.5,100.0,3,100.0,1,100.0
TRANSITION,1.26,19.0,1,100.0,1.45,27.6,100.0,1,100.0,0,N/A,1.0,13.3,100.0,1,100.0,0,N/A
Attacking Closeouts,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Catch & Shoot,1.0,12.0,0,33.3,1.0,30.0,33.3,0,N/A,3,33.3,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,4.0,0,0.0,N/A,0.0,N/A,0,N/A,0,N/A,0.0,6.7,0.0,1,0.0,0,N/A
Cutting,0.0,4.0,0,0.0,N/A,0.0,N/A,0,N/A,0,N/A,0.0,6.7,0.0,1,0.0,0,N/A
Off. Rebounds,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.44,25,4.0,61.9,1.24,40.0,42.9,3,33.3,4,50.0,1.57,60.0,71.4,11,63.6,3,100.0
