,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ROB,1.83,24.1%,80.0%,1.67,28.8%,75.0%,3,66.7%,1,100.0%,3.0,11.1%,100.0%,0,N/A,1,100.0%
HORFORD,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
GRANT,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
SMART,0.0,8.8%,0.0%,0.0,4.0%,0.0%,1,0.0%,0,N/A,0.0,22.2%,0.0%,0,N/A,1,0.0%
OTHERS,1.5,5.9%,50.0%,3.0,4.0%,100.0%,0,N/A,1,100.0%,0.0,11.1%,0.0%,0,N/A,1,0.0%
ISO,1.37,30.0%,50.0%,1.52,36.8%,57.1%,3,66.7%,4,50.0%,0.0,11.1%,0.0%,0,N/A,1,0.0%
Transition,2.25,11.8%,100.0%,2.0,8.0%,100.0%,2,100.0%,0,N/A,2.5,22.2%,100.0%,1,100.0%,1,100.0%
Attacking Closeouts,0.0,5.9%,0.0%,0.0,4.0%,0.0%,1,0.0%,0,N/A,0.0,11.1%,0.0%,0,N/A,1,0.0%
Catch & Shoot,2.0,2.9%,100.0%,2.0,4.0%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,1.5,5.9%,50.0%,0.0,4.0%,0.0%,0,N/A,1,0.0%,3.0,11.1%,100.0%,0,N/A,1,100.0%
Cutting,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,2.0,5.9%,100.0%,2.0,8.0%,100.0%,2,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,1.38,38.2%,55.6%,1.67,69.2%,66.7%,4,50.0%,2,100.0%,1,30.8%,33.3%,0,N/A,3,33.3%
TOTAL,1.45,34,60.7%,1.54,73.5%,65.0%,13,69.2%,7,57.1%,1.22,26.5%,50.0%,1,100.0%,7,42.9%
