Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,10,1,0,0,0,0,7,0,1,0,0,1,2
shoot2FGM,5,0,0,0,0,0,2,0,0,0,0,1,2
shoot2FTA,2,0,0,0,0,0,2,0,0,0,0,1,3
shoot2FTM,2,0,0,0,0,0,2,0,0,0,0,1,3
shoot2TO,1,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FGA,0,0,0,0,0,0,2,0,0,1,0,0,0
shoot3FGM,0,0,0,0,0,0,1,0,0,1,0,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,1,0,0,0,0,0,0
pass2FGA,3,0,0,0,0,0,0,0,0,0,0,0,0
pass2FGM,2,0,0,0,0,0,0,0,0,0,0,0,0
pass2FTA,1,0,0,0,0,0,0,0,0,0,0,2,0
pass2FTM,0,0,0,0,0,0,0,0,0,0,0,1,0
pass2TO,2,0,0,0,0,0,0,0,0,0,0,0,0
pass3FGA,2,0,0,0,0,0,3,0,0,0,0,0,0
pass3FGM,1,0,0,0,0,0,3,0,0,0,0,0,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
