Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,35,13,0,0,0,0,71,13,14,2,2,12,10
shoot2FGM,19,8,0,0,0,0,27,8,10,2,2,11,9
shoot2FTA,16,1,4,0,0,0,16,8,2,0,0,3,3
shoot2FTM,15,0,4,0,0,0,16,6,2,0,0,2,3
shoot2TO,1,1,2,0,0,0,4,3,0,0,0,2,0
shoot3FGA,17,5,12,1,0,0,5,4,0,33,4,0,0
shoot3FGM,9,0,6,0,0,0,1,3,0,14,1,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,1,2,0,1,0,0,0
pass2FGA,16,0,1,0,0,0,15,8,2,0,0,2,0
pass2FGM,11,0,0,0,0,0,15,6,0,0,0,1,0
pass2FTA,1,0,0,4,0,0,1,0,0,0,0,2,0
pass2FTM,0,0,0,4,0,0,1,0,0,0,0,1,0
pass2TO,5,1,1,0,0,0,3,0,0,0,1,0,0
pass3FGA,12,3,1,12,0,0,9,6,2,3,0,0,1
pass3FGM,3,1,0,6,0,0,4,4,2,3,0,0,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,2,0,0,0,0,2,0,0,0,0,0,0
