,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,2.0,6.2,0,100.0,2.0,7.1,100.0,2,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
PNR Screener,0.67,9.4,0,33.3,0.67,10.7,33.3,1,100.0,2,0.0,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,3.0,3.1,0,100.0,3.0,3.6,100.0,0,N/A,1,100.0,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.0,6.2,0,0.0,0.0,3.6,0.0,1,0.0,0,N/A,0.0,25.0,0.0,0,N/A,1,0.0
TRANSITION,0.8,15.6,1,50.0,0.8,17.9,50.0,3,66.7,1,0.0,N/A,0.0,N/A,0,N/A,0,N/A
Attacking Closeouts,2.29,21.9,0,100.0,2.0,17.9,100.0,5,100.0,0,N/A,3.0,50.0,100.0,0,N/A,2,100.0
Catch & Shoot,1.64,34.4,0,54.5,1.5,35.7,50.0,0,N/A,10,50.0,3.0,25.0,100.0,0,N/A,1,100.0
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,2.0,3.1,0,100.0,2.0,3.6,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.53,32,3.1,64.5,1.43,87.5,63.0,13,84.6,14,42.9,2.25,12.5,75.0,0,nan,4,75.0
