,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.98,47.1,3,53.3,1.01,39.6,50.0,10,50.0,0,N/A,0.94,67.6,60.0,3,66.7,2,50.0
PNR Screener,0.0,2.4,0,0.0,0.0,3.3,0.0,1,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.3,33.9,1,50.0,0.83,36.3,33.3,7,28.6,2,50.0,3.0,27.3,100.0,0,N/A,3,100.0
TRANSITION,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Attacking Closeouts,0.0,2.4,0,0.0,0.0,3.3,0.0,1,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Catch & Shoot,3.0,2.4,0,100.0,3.0,3.3,100.0,0,N/A,1,100.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,1.72,5.7,0,100.0,2.08,4.8,100.0,1,100.0,0,N/A,1.14,8.0,N/A,0,N/A,0,N/A
Off. Rebounds,2.11,8.1,0,100.0,2.11,11.1,100.0,2,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.22,41,9.8,54.5,1.11,73.2,48.0,22,45.5,3,66.7,1.5,26.8,75.0,3,66.7,5,80.0
