,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.2,17.4,3,57.1,1.08,15.9,54.5,6,66.7,5,40.0,1.38,20.1,60.0,6,66.7,4,50.0
PNR Screener,1.55,2.5,0,66.7,1.04,2.9,50.0,2,50.0,0,N/A,3.0,1.9,100.0,0,N/A,1,100.0
DHO Ball Handler,0.0,0.7,0,0.0,0.0,1.0,0.0,0,N/A,1,0.0,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,0.0,0.7,0,0.0,N/A,0.0,N/A,0,N/A,0,N/A,0.0,1.9,0.0,0,N/A,1,0.0
DBL Ball Handler,1.0,2.6,0,50.0,0.67,3.0,33.3,3,33.3,0,N/A,2.0,1.9,100.0,1,100.0,0,N/A
DBL Screener,2.0,0.7,0,100.0,2.0,1.0,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.06,22.1,2,48.1,1.32,13.8,60.0,9,55.6,1,100.0,0.89,37.4,41.2,9,66.7,8,12.5
TRANSITION,1.47,16.9,4,70.6,1.35,14.2,66.7,7,57.1,2,100.0,1.62,21.8,75.0,4,75.0,4,75.0
Attacking Closeouts,1.01,14.9,3,46.7,1.11,19.2,53.8,13,53.8,0,N/A,0.52,7.2,0.0,0,N/A,2,0.0
Catch & Shoot,0.67,11.8,0,22.2,0.71,17.2,23.5,0,N/A,17,23.5,0.0,1.9,0.0,0,N/A,1,0.0
Off Ball Screens,1.25,2.6,0,50.0,1.67,3.0,66.7,2,50.0,1,100.0,0.0,1.9,0.0,1,0.0,0,N/A
Cutting,1.14,4.6,0,57.1,1.6,5.1,80.0,5,80.0,0,N/A,0.0,3.7,0.0,2,0.0,0,N/A
Off. Rebounds,1.65,3.6,1,100.0,2.03,4.5,100.0,4,100.0,0,N/A,0.0,1.9,N/A,0,N/A,0,N/A
TOTAL,1.13,153,8.5,51.2,1.16,64.7,53.2,52,61.5,27,37.0,1.08,35.3,47.7,23,60.9,21,33.3
