Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,28,6,6,4,0,0,31,21,8,1,1,6,9
shoot2FGM,15,2,3,2,0,0,10,13,7,1,0,4,7
shoot2FTA,18,2,4,3,0,0,7,8,4,0,0,2,8
shoot2FTM,15,0,2,3,0,0,5,8,4,0,0,2,7
shoot2TO,1,1,0,0,0,0,6,2,0,0,0,0,0
shoot3FGA,8,0,9,0,0,0,4,3,0,42,2,0,1
shoot3FGM,5,0,0,0,0,0,2,1,0,12,1,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,3,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,1,0,0
shoot3TO,0,0,1,0,0,0,0,0,0,0,0,0,0
pass2FGA,8,1,4,5,0,0,3,8,2,0,1,0,0
pass2FGM,4,1,2,2,0,0,2,5,1,0,1,0,0
pass2FTA,2,0,3,2,0,0,0,2,4,0,0,0,0
pass2FTM,0,0,3,1,0,0,0,2,4,0,0,0,0
pass2TO,0,3,0,0,0,0,1,3,3,0,0,0,0
pass3FGA,7,2,2,8,2,0,9,12,5,0,0,1,6
pass3FGM,0,1,0,0,0,0,2,6,2,0,0,1,2
pass3FTA,0,0,0,0,0,0,3,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,1,0,0,0,0,0,0
pass3TO,0,0,0,0,0,0,0,1,0,0,0,0,0
