,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.0,3.2,0,0.0,0.0,3.7,0.0,1,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,0.0,6.5,0,0.0,0.0,7.4,0.0,0,N/A,2,0.0,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.83,19.4,0,33.3,0.83,22.2,33.3,5,20.0,1,100.0,N/A,0.0,N/A,0,N/A,0,N/A
TRANSITION,1.13,28.6,0,50.0,1.36,21.8,60.0,5,60.0,0,N/A,0.67,75.0,33.3,2,50.0,1,0.0
Attacking Closeouts,2.08,9.3,0,100.0,2.08,10.7,100.0,2,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Catch & Shoot,0.0,12.9,0,0.0,0.0,14.8,0.0,0,N/A,4,0.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,0.76,4.3,0,N/A,0.76,4.9,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,2.0,6.5,0,100.0,2.0,7.4,100.0,2,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,0.67,9.7,0,33.3,1.0,7.4,50.0,2,50.0,0,N/A,0.0,25.0,0.0,0,N/A,1,0.0
TOTAL,0.9,31,0.0,39.3,0.96,87.1,41.7,17,52.9,7,14.3,0.5,12.9,25.0,2,50.0,2,0.0
