,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.0,10.5,1,0.0,0.0,6.2,0.0,1,0.0,0,N/A,0.0,33.3,N/A,0,N/A,0,N/A
TRANSITION,1.0,15.8,1,50.0,1.5,12.5,50.0,0,N/A,2,50.0,0.0,33.3,N/A,0,N/A,0,N/A
Attacking Closeouts,0.69,15.2,1,0.0,0.0,6.2,0.0,1,0.0,0,N/A,1.06,62.7,N/A,0,N/A,0,N/A
Catch & Shoot,0.9,52.6,0,30.0,0.9,62.5,30.0,0,N/A,10,30.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,2.08,15.2,0,100.0,2.08,18.0,100.0,2,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,0.96,19,15.8,37.5,1.07,84.2,37.5,4,50.0,12,33.3,0.52,15.8,nan,0,nan,0,nan
