,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.16,45.8,1,44.8,1.42,43.4,53.3,11,45.5,4,75.0,0.81,49.6,35.7,6,50.0,8,25.0
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,0.84,10.8,0,28.6,0.26,8.3,0.0,1,0.0,2,0.0,1.35,14.8,50.0,2,50.0,2,50.0
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.51,10.2,1,16.7,0.68,12.5,25.0,3,33.3,1,0.0,0.0,6.7,0.0,0,N/A,2,0.0
TRANSITION,1.3,14.0,1,50.0,1.18,14.4,50.0,4,50.0,0,N/A,1.5,13.3,50.0,0,N/A,4,50.0
Attacking Closeouts,1.23,6.3,0,50.0,2.08,6.1,100.0,2,100.0,0,N/A,0.0,6.7,0.0,0,N/A,2,0.0
Catch & Shoot,0.75,10.4,0,25.0,0.75,17.0,25.0,0,N/A,8,25.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,3.0,3.9,0,100.0,N/A,0.0,N/A,0,N/A,0,N/A,3.0,10.0,100.0,0,N/A,3,100.0
TOTAL,1.11,77,3.9,41.5,1.13,61.0,41.7,21,47.6,15,33.3,1.09,39.0,41.4,8,50.0,21,38.1
