,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.28,11.4,6,56.8,1.45,11.8,58.1,15,73.3,16,43.8,0.95,10.7,53.8,6,83.3,7,28.6
PNR Screener,1.08,3.0,2,50.0,1.23,1.5,50.0,4,50.0,0,N/A,1.0,5.6,50.0,4,50.0,4,50.0
DHO Ball Handler,0.4,5.1,2,17.4,0.71,4.4,30.8,4,50.0,9,22.2,0.0,6.2,0.0,5,0.0,5,0.0
DHO Screener,0.82,4.5,2,35.0,0.0,1.3,0.0,3,0.0,1,0.0,1.0,10.2,43.8,4,75.0,12,33.3
DBL Ball Handler,1.02,1.0,0,25.0,1.06,0.6,0.0,0,N/A,1,0.0,1.0,1.7,33.3,1,0.0,2,50.0
DBL Screener,1.5,0.4,0,50.0,1.5,0.6,50.0,1,0.0,1,100.0,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.9,23.1,17,42.7,0.79,18.8,35.4,29,44.8,19,21.1,1.02,30.9,51.2,13,84.6,28,35.7
TRANSITION,1.0,12.5,10,50.0,0.95,12.0,46.7,24,50.0,6,33.3,1.09,13.5,55.6,8,75.0,10,40.0
Attacking Closeouts,1.14,5.2,0,45.5,1.11,4.0,50.0,4,75.0,6,33.3,1.16,7.3,41.7,1,100.0,11,36.4
Catch & Shoot,1.04,13.6,0,35.8,1.0,20.5,33.8,2,50.0,63,33.3,2.5,1.1,100.0,1,100.0,1,100.0
Off Ball Screens,1.38,7.5,1,53.1,1.48,8.7,52.0,6,66.7,19,47.4,1.07,5.3,57.1,4,100.0,3,0.0
Cutting,1.63,9.3,3,83.3,1.64,11.9,83.9,31,83.9,0,N/A,1.56,4.7,80.0,2,100.0,3,66.7
Off. Rebounds,1.39,3.8,2,64.3,1.19,4.0,62.5,8,62.5,0,N/A,1.83,3.4,66.7,1,100.0,5,60.0
TOTAL,1.09,494,9.1,47.5,1.12,64.2,46.7,131,60.3,141,34.0,1.04,35.8,48.9,50,72.0,91,36.3
