,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.04,28.8,0,40.0,1.12,37.9,44.4,7,42.9,2,50.0,0.0,7.1,0.0,1,0.0,0,N/A
PNR Screener,0.0,2.1,1,N/A,N/A,0.0,N/A,0,N/A,0,N/A,0.0,7.1,N/A,0,N/A,0,N/A
DHO Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,0.0,4.3,0,0.0,N/A,0.0,N/A,0,N/A,0,N/A,0.0,14.3,0.0,0,N/A,2,0.0
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.82,33.8,1,35.7,0.84,36.0,40.0,9,33.3,1,100.0,0.75,28.6,25.0,0,N/A,4,25.0
TRANSITION,1.64,20.8,1,71.4,1.55,11.8,66.7,2,100.0,1,0.0,1.7,42.0,75.0,2,50.0,2,100.0
Attacking Closeouts,0.0,2.1,0,0.0,N/A,0.0,N/A,0,N/A,0,N/A,0.0,7.1,0.0,0,N/A,1,0.0
Catch & Shoot,1.5,8.5,0,50.0,1.5,12.1,50.0,0,N/A,4,50.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,2.0,2.1,0,100.0,2.0,3.0,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.06,47,6.4,43.6,1.14,70.2,48.1,19,47.4,8,50.0,0.87,29.8,33.3,3,33.3,9,33.3
