,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.84,11.1,0,80.0,1.69,12.6,72.7,6,100.0,5,40.0,2.25,8.3,100.0,3,100.0,1,100.0
PNR Screener,1.64,2.9,0,75.0,2.08,2.7,100.0,2,100.0,0,N/A,1.0,3.4,50.0,1,100.0,1,0.0
DHO Ball Handler,0.38,4.8,0,12.5,0.38,7.4,12.5,1,0.0,7,14.3,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,0.6,6.0,1,22.2,N/A,0.0,N/A,0,N/A,0,N/A,0.6,16.9,22.2,0,N/A,9,22.2
DBL Ball Handler,0.0,0.6,0,0.0,N/A,0.0,N/A,0,N/A,0,N/A,0.0,1.7,0.0,1,0.0,0,N/A
DBL Screener,0.0,0.6,0,0.0,0.0,0.9,0.0,1,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.05,18.8,6,52.4,0.77,10.9,37.5,5,40.0,3,33.3,1.22,33.3,61.5,4,100.0,9,44.4
TRANSITION,0.71,14.4,4,40.0,0.62,14.8,38.5,11,45.5,2,0.0,0.88,13.6,42.9,2,100.0,5,20.0
Attacking Closeouts,1.71,7.7,0,66.7,1.6,6.4,66.7,2,100.0,4,50.0,1.83,10.2,66.7,1,100.0,5,60.0
Catch & Shoot,1.04,13.8,0,34.8,0.95,20.4,31.8,0,N/A,22,31.8,3.0,1.7,100.0,0,N/A,1,100.0
Off Ball Screens,1.53,9.4,0,53.8,1.8,11.8,63.6,3,66.7,8,62.5,0.35,4.9,0.0,0,N/A,2,0.0
Cutting,1.78,8.1,1,100.0,1.9,10.3,100.0,8,100.0,0,N/A,1.23,4.1,100.0,1,100.0,0,N/A
Off. Rebounds,1.02,2.9,1,33.3,0.69,2.7,0.0,1,0.0,0,N/A,1.5,3.4,50.0,0,N/A,2,50.0
TOTAL,1.19,167,7.8,50.4,1.18,64.7,49.5,40,67.5,51,35.3,1.19,35.3,52.1,13,92.3,35,37.1
