,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.04,17.3,1,42.9,1.12,16.6,43.3,22,40.9,8,50.0,0.9,18.5,42.1,9,66.7,10,20.0
PNR Screener,1.1,3.2,2,62.5,0.86,3.4,50.0,6,50.0,0,N/A,1.67,2.8,100.0,1,100.0,1,100.0
DHO Ball Handler,0.75,9.4,1,30.8,0.67,11.6,28.6,6,66.7,15,13.3,1.1,5.0,40.0,2,50.0,3,33.3
DHO Screener,0.72,7.2,0,28.6,1.23,1.2,50.0,2,50.0,0,N/A,0.65,18.4,26.3,5,60.0,14,14.3
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.65,15.8,5,28.9,0.7,17.6,29.6,22,31.8,5,20.0,0.53,12.3,27.3,3,100.0,8,0.0
TRANSITION,1.08,19.5,7,58.5,1.36,15.1,69.0,24,79.2,5,20.0,0.8,27.8,45.8,11,81.8,13,15.4
Attacking Closeouts,1.07,6.0,2,42.9,1.45,3.4,66.7,6,66.7,0,N/A,0.85,10.9,25.0,1,0.0,7,28.6
Catch & Shoot,0.78,13.1,0,26.8,0.78,20.1,26.8,1,100.0,40,25.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,0.56,1.7,2,50.0,0.56,2.6,50.0,1,100.0,1,0.0,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,1.65,2.5,1,83.3,1.7,2.9,80.0,5,80.0,0,N/A,1.5,1.9,100.0,0,N/A,1,100.0
Off. Rebounds,1.44,4.7,1,57.1,1.29,5.7,50.0,3,66.7,1,0.0,2.0,2.8,66.7,0,N/A,3,66.7
TOTAL,0.93,312,7.1,41.1,0.98,65.4,42.2,98,56.1,75,24.0,0.85,34.6,39.1,32,71.9,60,21.7
