Shot Type,RANDLE,ROBINSON,HARTENSTEIN,HART,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,0,0,0,0,1,4,2,5,0,0,0,1
shoot2FGM,0,0,0,0,1,2,1,2,0,0,0,0
shoot2FTA,0,0,2,0,0,7,0,0,0,0,0,0
shoot2FTM,0,0,2,0,0,4,0,0,0,0,0,0
shoot2TO,0,0,0,0,0,0,0,0,0,0,1,0
shoot3FGA,0,1,0,1,1,1,0,0,4,0,0,0
shoot3FGM,0,1,0,0,0,0,0,0,2,0,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,0,0,0,0,0,0
pass2FGA,0,1,0,0,0,0,0,2,0,0,0,1
pass2FGM,0,1,0,0,0,0,0,0,0,0,0,0
pass2FTA,0,0,0,0,0,0,0,0,0,0,0,0
pass2FTM,0,0,0,0,0,0,0,0,0,0,0,0
pass2TO,0,0,0,0,0,0,1,0,0,0,0,0
pass3FGA,0,0,0,0,1,1,0,0,0,1,0,0
pass3FGM,0,0,0,0,0,1,0,0,0,0,0,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,0,0,0,0,1,0,0,0,0,0,0
,,,,,,,,,,,,
