Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,15,0,0,0,0,0,7,7,10,0,7,7,0
shoot2FGM,1,0,0,0,0,0,0,7,0,0,7,7,0
shoot2FTA,2,0,0,0,0,0,0,2,0,0,0,0,0
shoot2FTM,2,0,0,0,0,0,0,2,0,0,0,0,0
shoot2TO,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FGA,8,2,0,0,0,0,8,0,7,40,0,0,0
shoot3FGM,0,2,0,0,0,0,8,0,7,23,0,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,0,0,0,0,0,0,0
pass2FGA,16,0,0,0,0,0,2,16,7,0,0,0,0
pass2FGM,16,0,0,0,0,0,2,9,7,0,0,0,0
pass2FTA,0,0,0,0,0,0,0,2,0,0,0,0,0
pass2FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass2TO,0,0,0,0,0,0,0,0,0,0,0,0,7
pass3FGA,7,0,0,0,0,0,0,1,0,0,0,0,0
pass3FGM,0,0,0,0,0,0,0,1,0,0,0,0,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,0,0,0,0,0,0,0,0,0,0,0,0
