,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.25,17.2,3,60.0,0.92,11.5,44.4,7,57.1,2,0.0,1.51,28.3,72.7,7,71.4,4,75.0
PNR Screener,2.03,4.8,0,83.3,2.04,6.2,80.0,3,66.7,2,100.0,2.0,2.0,100.0,1,100.0,0,N/A
DHO Ball Handler,0.67,2.1,0,33.3,2.0,1.1,100.0,1,100.0,0,N/A,0.0,4.1,0.0,2,0.0,0,N/A
DHO Screener,0.67,2.1,1,50.0,0.0,2.1,0.0,1,0.0,0,N/A,2.0,2.0,100.0,1,100.0,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.11,28.1,1,47.2,1.02,29.0,43.5,20,45.0,3,33.3,1.31,26.5,53.8,6,66.7,7,42.9
TRANSITION,1.6,16.5,2,76.9,1.67,13.9,71.4,6,83.3,1,0.0,1.5,21.7,83.3,3,100.0,3,66.7
Attacking Closeouts,0.89,6.2,0,44.4,0.75,8.4,37.5,8,37.5,0,N/A,2.0,2.0,100.0,1,100.0,0,N/A
Catch & Shoot,1.35,13.9,0,45.0,1.5,16.8,50.0,0,N/A,16,50.0,0.75,8.2,25.0,0,N/A,4,25.0
Off Ball Screens,0.0,0.7,1,N/A,N/A,0.0,N/A,0,N/A,0,N/A,0.0,2.0,N/A,0,N/A,0,N/A
Cutting,1.8,6.9,0,90.0,1.8,10.5,90.0,10,90.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,2.33,2.1,0,100.0,2.0,1.1,100.0,1,100.0,0,N/A,2.5,4.1,100.0,1,100.0,1,100.0
TOTAL,1.32,144,5.6,58.2,1.3,66.0,55.6,57,59.6,24,45.8,1.37,34.0,63.4,22,72.7,19,52.6
