,POWELL,WOOD,KLEBER,MCGEE,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,TOTAL
Total PPP,N/A,0.0,N/A,N/A,N/A,1.0,N/A,1.02,2.14,N/A,N/A,N/A,1.45
% of Poss.,0.0%,5.9%,0.0%,0.0%,0.0%,11.8%,0.0%,41.2%,41.2%,0.0%,0.0%,0.0%,17
Total FG%,N/A,N/A,N/A,N/A,N/A,50.0%,N/A,40.0%,71.4%,N/A,N/A,N/A,57.1%
Shooting PPP,N/A,N/A,N/A,N/A,N/A,1.0,N/A,1.55,2.14,N/A,N/A,N/A,1.79
% of Shooting Poss.,0.0%,0.0%,0.0%,0.0%,0.0%,14.3%,0.0%,35.7%,50.0%,0.0%,0.0%,0.0%,82.4% | 12
Shooting FG%,N/A,N/A,N/A,N/A,N/A,50.0%,N/A,66.7%,71.4%,N/A,N/A,N/A,66.7%
Shooting 2pt Att.,0,0,0,0,0,1,0,3,0,0,0,0,4
Shooting 2pt FG%,N/A,N/A,N/A,N/A,N/A,100.0%,N/A,66.7%,N/A,N/A,N/A,N/A,75.0%
Shooting 3pt Att.,0,0,0,0,0,1,0,0,7,0,0,0,8
Shooting 3pt FG%,N/A,N/A,N/A,N/A,N/A,0.0%,N/A,N/A,71.4%,N/A,N/A,N/A,62.5%
Passing PPP,N/A,0.0,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,0.0
% of Passing Poss.,0.0%,33.3%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,0.0%,0.0%,0.0%,0.0%,17.6% | 2
Passing FG%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,N/A,N/A,N/A,N/A,0.0%
Passing 2pt Att.,0,0,0,0,0,0,0,1,0,0,0,0,1
Passing 2pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,N/A,N/A,N/A,N/A,0.0%
Passing 3pt Att.,0,0,0,0,0,0,0,1,0,0,0,0,1
Passing 3pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,N/A,N/A,N/A,N/A,0.0%
