,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
CLAXTON,1.12,25.8%,50.0%,0.75,23.5%,25.0%,2,0.0%,2,50.0%,1.5,28.6%,75.0%,3,100.0%,1,0.0%
JOHNSON,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
SHARPE,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
FINNEY-SMITH,1.6,16.1%,60.0%,2.0,23.5%,75.0%,1,100.0%,3,66.7%,0.0,7.1%,0.0%,0,N/A,1,0.0%
OTHERS,0.0,3.2%,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A,0.0,7.1%,0.0%,0,N/A,1,0.0%
ISO,1.16,22.2%,60.0%,1.55,22.8%,66.7%,2,100.0%,1,0.0%,0.67,21.4%,50.0%,2,50.0%,0,N/A
Transition,1.38,25.8%,57.1%,1.67,17.6%,66.7%,1,100.0%,2,50.0%,1.2,35.7%,50.0%,1,0.0%,3,66.7%
Attacking Closeouts,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Catch & Shoot,1.5,6.5%,50.0%,1.5,11.8%,50.0%,0,N/A,2,50.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,3.2%,0.0%,0.0,5.9%,0.0%,1,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,1.21,45.2%,50.0%,1.38,57.1%,50.0%,3,33.3%,5,60.0%,1,42.9%,50.0%,3,100.0%,3,0.0%
TOTAL,1.22,31,51.7%,1.4,54.8%,52.9%,7,57.1%,10,50.0%,1.0,45.2%,50.0%,6,66.7%,6,33.3%
