,CLAXTON,SIMMONS,BRIDGES,DINWIDDIE,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,PNR,TOTAL
Total PPP,1.0,N/A,N/A,N/A,N/A,2.5,1.7,2.5,1.0,0.0,N/A,N/A,1.0,1.35
% of Poss.,9.7%,0.0%,0.0%,0.0%,0.0%,12.9%,22.6%,12.9%,38.7%,3.2%,0.0%,0.0%,9.7%,31
Total FG%,50.0%,N/A,N/A,N/A,N/A,100.0%,N/A,100.0%,33.3%,0.0%,N/A,N/A,50.0%,50.0%
Shooting PPP,1.0,N/A,N/A,N/A,N/A,2.0,1.7,2.0,1.0,0.0,N/A,N/A,1.0,1.14
% of Shooting Poss.,11.1%,0.0%,0.0%,0.0%,0.0%,7.4%,25.9%,7.4%,44.4%,3.7%,0.0%,0.0%,100.0% | 2,87.1% | 14
Shooting FG%,50.0%,N/A,N/A,N/A,N/A,100.0%,N/A,100.0%,33.3%,0.0%,N/A,N/A,50.0%,42.9%
Shooting 2pt Att.,2,0,0,0,0,1,0,1,0,0,0,0,2,4
Shooting 2pt FG%,50.0%,N/A,N/A,N/A,N/A,100.0%,N/A,100.0%,N/A,N/A,N/A,N/A,50.0%,75.0%
Shooting 3pt Att.,0,0,0,0,0,0,0,0,9,1,0,0,0,10
Shooting 3pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.3%,0.0%,N/A,N/A,nan%,30.0%
Passing PPP,N/A,N/A,N/A,N/A,N/A,3.0,N/A,3.0,N/A,N/A,N/A,N/A,nan,3.0
% of Passing Poss.,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0% | 0,12.9% | 2
Passing FG%,N/A,N/A,N/A,N/A,N/A,100.0%,N/A,100.0%,N/A,N/A,N/A,N/A,nan%,100.0%
Passing 2pt Att.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passing 2pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,nan%,nan%
Passing 3pt Att.,0,0,0,0,0,1,0,1,0,0,0,0,0,2
Passing 3pt FG%,N/A,N/A,N/A,N/A,N/A,100.0%,N/A,100.0%,N/A,N/A,N/A,N/A,nan%,100.0%
