Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,29,15,1,2,3,1,56,27,27,1,4,11,7
shoot2FGM,15,9,0,2,2,1,29,21,13,1,1,6,6
shoot2FTA,2,0,0,0,0,2,14,6,5,0,0,1,0
shoot2FTM,1,0,0,0,0,2,12,6,5,0,0,0,0
shoot2TO,2,2,0,0,0,0,10,2,1,0,0,0,1
shoot3FGA,4,1,0,0,0,1,14,11,3,40,1,0,0
shoot3FGM,1,1,0,0,0,0,4,6,1,7,0,0,0
shoot3FTA,3,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,3,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,0,0,0,0,0,0,0
pass2FGA,21,1,2,0,2,0,13,9,5,1,0,1,4
pass2FGM,13,1,2,0,1,0,12,7,1,1,0,1,0
pass2FTA,1,0,0,0,2,0,1,1,0,0,0,0,0
pass2FTM,1,0,0,0,2,0,0,1,0,0,0,0,0
pass2TO,1,2,0,0,1,0,3,2,1,0,0,1,0
pass3FGA,16,1,1,0,5,0,10,8,5,1,0,1,2
pass3FGM,4,0,1,0,2,0,1,3,1,0,0,0,1
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,1,0,0,0,0,0,0,1,1,0,0,0,1
