,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.05,23.2,3,44.9,1.16,18.4,45.0,14,35.7,6,66.7,0.97,30.0,44.8,15,66.7,14,21.4
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,0.76,3.3,1,50.0,0.0,0.7,0.0,0,N/A,1,0.0,0.87,6.9,60.0,3,100.0,2,0.0
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,1.07,7.4,2,50.0,2.0,1.4,100.0,2,100.0,0,N/A,0.95,15.8,41.7,4,75.0,8,25.0
DBL Screener,2.0,0.4,0,100.0,2.0,0.7,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.22,31.9,7,54.5,1.15,33.4,53.8,30,53.3,9,55.6,1.34,29.9,55.6,8,87.5,19,42.1
TRANSITION,1.52,19.4,1,70.0,1.63,26.1,71.9,24,79.2,8,50.0,1.11,9.9,62.5,5,100.0,3,0.0
Attacking Closeouts,0.92,9.5,2,45.0,1.13,11.3,57.1,12,58.3,2,50.0,0.43,7.0,16.7,0,N/A,6,16.7
Catch & Shoot,1.5,1.7,0,50.0,1.5,2.8,50.0,1,0.0,3,66.7,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,1.67,1.2,0,66.7,1.67,2.1,66.7,1,100.0,2,50.0,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,0.5,1.7,0,25.0,0.67,2.1,33.3,3,33.3,0,N/A,0.0,1.0,0.0,0,N/A,1,0.0
Off. Rebounds,1.0,0.8,1,100.0,1.0,1.4,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.19,241,7.1,53.8,1.29,58.5,58.3,89,59.6,31,54.8,1.04,41.5,47.7,35,80.0,53,26.4
