,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,2.0,5.0,0,100.0,2.0,5.6,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.0,10.0,0,50.0,1.0,11.1,50.0,1,100.0,1,0.0,N/A,0.0,N/A,0,N/A,0,N/A
TRANSITION,1.23,24.4,0,50.0,1.55,21.6,66.7,3,66.7,0,N/A,0.0,50.0,0.0,0,N/A,1,0.0
Attacking Closeouts,0.51,29.4,0,20.0,0.51,32.7,20.0,5,20.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Catch & Shoot,0.5,30.0,0,16.7,0.5,33.3,16.7,0,N/A,6,16.7,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,2.0,5.0,0,100.0,N/A,0.0,N/A,0,N/A,0,N/A,2.0,50.0,100.0,1,100.0,0,N/A
Off. Rebounds,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,0.87,20,0.0,36.8,0.85,90.0,35.3,10,50.0,7,14.3,1.0,10.0,50.0,1,100.0,1,0.0
