,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.6,15.3,1,80.0,1.74,13.1,100.0,0,N/A,1,100.0,1.5,17.4,75.0,3,100.0,1,0.0
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,0.0,2.2,0,0.0,N/A,0.0,N/A,0,N/A,0,N/A,0.0,4.3,0.0,0,N/A,1,0.0
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,1.01,19.7,1,57.1,2.0,4.5,100.0,1,100.0,0,N/A,0.89,34.3,50.0,3,100.0,3,0.0
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,2.04,26.1,0,70.0,1.8,17.6,66.7,2,50.0,1,100.0,2.16,34.3,71.4,0,N/A,7,71.4
TRANSITION,1.66,25.4,0,81.8,1.63,47.5,80.0,9,88.9,1,0.0,2.0,4.3,100.0,1,100.0,0,N/A
Attacking Closeouts,0.45,9.9,2,50.0,0.82,11.1,100.0,1,100.0,0,N/A,0.0,8.7,0.0,0,N/A,1,0.0
Catch & Shoot,3.0,2.2,0,100.0,3.0,4.5,100.0,0,N/A,1,100.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,0.0,2.2,1,N/A,0.0,4.5,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.47,45,11.1,70.3,1.59,48.9,82.4,13,84.6,4,75.0,1.35,51.1,60.0,7,100.0,13,38.5
