Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,3,2,0,0,0,1,20,10,4,2,0,6,1
shoot2FGM,2,1,0,0,0,1,10,7,0,0,0,3,1
shoot2FTA,2,0,0,0,0,0,8,10,0,0,0,0,0
shoot2FTM,2,0,0,0,0,0,7,7,0,0,0,0,0
shoot2TO,0,0,0,0,0,0,2,2,1,0,0,0,0
shoot3FGA,2,0,1,0,0,1,7,0,0,12,2,0,0
shoot3FGM,2,0,0,0,0,0,2,0,0,5,1,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,1,0,0,0,0,0,0
pass2FGA,5,0,0,0,1,0,5,6,2,0,0,1,0
pass2FGM,1,0,0,0,1,0,2,5,1,0,0,0,0
pass2FTA,0,0,0,0,0,0,0,4,0,0,0,0,0
pass2FTM,0,0,0,0,0,0,0,2,0,0,0,0,0
pass2TO,1,0,0,0,0,0,1,0,1,0,0,0,0
pass3FGA,2,0,0,1,2,0,6,2,2,0,0,0,0
pass3FGM,1,0,0,0,1,0,2,1,0,0,0,0,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,0,0,0,0,0,0,1,0,0,1,0,0
