,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.45,13.6,3,75.0,2.03,7.2,100.0,3,100.0,2,100.0,1.15,23.9,63.6,9,66.7,2,50.0
PNR Screener,1.0,3.9,0,50.0,1.0,6.3,50.0,6,50.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,1.0,1.3,0,50.0,N/A,0.0,N/A,0,N/A,0,N/A,1.0,3.4,50.0,1,100.0,1,0.0
DHO Screener,2.0,0.7,0,100.0,2.0,1.1,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,0.91,6.5,1,50.0,2.0,1.1,100.0,1,100.0,0,N/A,0.79,15.3,42.9,4,75.0,3,0.0
DBL Screener,1.43,3.2,0,75.0,1.43,5.1,75.0,4,75.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.29,22.8,3,51.9,1.05,21.1,46.7,11,54.5,4,25.0,1.63,25.4,58.3,1,0.0,11,63.6
TRANSITION,1.75,16.4,0,81.8,1.65,19.2,75.0,12,91.7,4,25.0,2.03,11.9,100.0,6,100.0,0,N/A
Attacking Closeouts,0.92,12.0,4,50.0,1.12,13.2,57.1,7,57.1,0,N/A,0.51,10.1,33.3,2,50.0,1,0.0
Catch & Shoot,1.5,13.1,0,50.0,1.42,20.0,47.4,0,N/A,19,47.4,3.0,1.7,100.0,0,N/A,1,100.0
Off Ball Screens,0.0,0.7,1,N/A,N/A,0.0,N/A,0,N/A,0,N/A,0.0,1.7,N/A,0,N/A,0,N/A
Cutting,0.35,1.9,0,0.0,0.35,3.0,0.0,2,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,0.57,4.6,1,33.3,0.67,3.2,50.0,2,50.0,0,N/A,0.5,6.9,25.0,4,25.0,0,N/A
TOTAL,1.28,153,8.5,58.9,1.32,62.1,59.0,49,67.3,29,44.8,1.22,37.9,58.7,27,66.7,19,47.4
