,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.0,4.8,0,50.0,N/A,0.0,N/A,0,N/A,0,N/A,1.0,15.4,50.0,2,50.0,0,N/A
PNR Screener,0.87,8.2,1,50.0,1.23,8.4,50.0,1,100.0,1,0.0,0.0,7.7,N/A,0,N/A,0,N/A
DHO Ball Handler,0.0,2.4,0,0.0,0.0,3.4,0.0,1,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,0.0,4.8,1,0.0,0.0,3.4,0.0,0,N/A,1,0.0,0.0,7.7,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.06,44.9,2,50.0,0.99,41.7,57.1,7,57.1,0,N/A,1.18,52.0,40.0,4,25.0,1,100.0
TRANSITION,2.0,2.4,0,100.0,2.0,3.4,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Attacking Closeouts,0.67,7.1,2,100.0,2.0,3.4,100.0,1,100.0,0,N/A,0.0,15.4,N/A,0,N/A,0,N/A
Catch & Shoot,0.43,16.7,0,14.3,0.5,20.7,16.7,0,N/A,6,16.7,0.0,7.7,0.0,0,N/A,1,0.0
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,1.6,4.5,0,100.0,1.6,6.5,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,1.04,6.9,1,100.0,1.04,9.9,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,0.88,42,16.7,44.8,0.96,69.0,47.6,13,69.2,8,12.5,0.73,31.0,37.5,6,33.3,2,50.0
