,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.75,10.8,0,75.0,N/A,0.0,N/A,0,N/A,0,N/A,1.75,22.2,75.0,2,100.0,2,50.0
PNR Screener,2.0,5.4,0,100.0,2.0,10.5,100.0,2,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,2.0,2.7,0,100.0,N/A,0.0,N/A,0,N/A,0,N/A,2.0,5.6,100.0,1,100.0,0,N/A
DHO Screener,1.0,5.4,0,50.0,N/A,0.0,N/A,0,N/A,0,N/A,1.0,11.1,50.0,2,50.0,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.83,16.2,2,50.0,1.0,10.5,100.0,1,100.0,0,N/A,0.75,22.2,33.3,0,N/A,3,33.3
TRANSITION,1.11,24.3,0,55.6,1.33,31.6,66.7,5,80.0,1,0.0,0.67,16.7,33.3,3,33.3,0,N/A
Attacking Closeouts,1.39,7.8,0,50.0,0.0,5.3,0.0,1,0.0,0,N/A,2.13,10.4,100.0,0,N/A,1,100.0
Catch & Shoot,1.2,13.5,0,40.0,1.5,21.1,50.0,0,N/A,4,50.0,0.0,5.6,0.0,0,N/A,1,0.0
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,0.33,16.2,0,16.7,0.5,21.1,25.0,4,25.0,0,N/A,0.0,11.1,0.0,0,N/A,2,0.0
Off. Rebounds,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.11,37,5.4,51.4,1.16,51.4,55.6,13,61.5,5,40.0,1.06,48.6,47.1,8,62.5,9,33.3
