,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.36,28.0,2,60.0,1.5,23.6,65.4,20,65.0,6,66.7,1.13,41.2,50.0,6,66.7,8,37.5
PNR Screener,2.0,0.6,0,100.0,2.0,0.8,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,1.25,4.5,1,57.1,1.17,4.5,50.0,4,50.0,2,50.0,1.5,4.4,100.0,0,N/A,1,100.0
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,1.0,1.7,0,33.3,0.0,0.8,0.0,1,0.0,0,N/A,1.5,4.4,50.0,0,N/A,2,50.0
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.13,26.4,3,47.5,1.05,29.4,44.1,21,52.4,13,30.8,1.52,17.5,66.7,4,50.0,2,100.0
TRANSITION,0.93,18.7,1,37.0,0.99,19.8,40.0,13,53.8,7,14.3,0.71,15.6,28.6,1,100.0,6,16.7
Attacking Closeouts,1.27,8.0,1,45.5,1.07,8.4,37.5,7,28.6,1,100.0,2.0,6.7,66.7,0,N/A,3,66.7
Catch & Shoot,0.82,6.2,0,27.3,0.9,7.5,30.0,0,N/A,10,30.0,0.0,2.2,0.0,0,N/A,1,0.0
Off Ball Screens,1.67,3.4,0,66.7,0.0,1.5,0.0,1,0.0,1,0.0,2.5,8.9,100.0,2,100.0,2,100.0
Cutting,1.6,2.1,0,100.0,1.6,2.8,100.0,2,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,2.0,1.1,0,100.0,2.0,1.5,100.0,2,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.19,178,4.5,50.0,1.15,74.7,48.2,72,55.6,40,35.0,1.32,25.3,55.3,13,69.2,25,48.0
