,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.0,7.7,0,0.0,N/A,0.0,N/A,0,N/A,0,N/A,0.0,25.0,0.0,0,N/A,1,0.0
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,2.0,7.7,0,100.0,N/A,0.0,N/A,0,N/A,0,N/A,2.0,25.0,100.0,1,100.0,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.0,7.7,0,0.0,N/A,0.0,N/A,0,N/A,0,N/A,0.0,25.0,0.0,0,N/A,1,0.0
TRANSITION,0.0,15.4,0,0.0,0.0,11.1,0.0,1,0.0,0,N/A,0.0,25.0,0.0,1,0.0,0,N/A
Attacking Closeouts,0.77,29.8,0,33.3,0.77,43.1,33.3,3,33.3,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Catch & Shoot,1.5,15.4,0,50.0,1.5,22.2,50.0,0,N/A,2,50.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,0.0,7.7,0,0.0,0.0,11.1,0.0,1,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,0.0,15.4,0,0.0,0.0,22.2,0.0,2,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,0.58,13,0.0,23.1,0.61,69.2,22.2,7,14.3,2,50.0,0.5,30.8,25.0,2,50.0,2,0.0
