,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.06,14.7,8,46.2,1.15,15.0,51.6,43,48.8,19,57.9,0.86,14.3,34.5,14,42.9,15,26.7
PNR Screener,1.26,3.9,4,63.6,1.23,3.9,50.0,11,45.5,5,60.0,1.3,4.0,100.0,5,100.0,1,100.0
DHO Ball Handler,1.07,6.7,4,47.6,1.16,8.0,51.5,20,55.0,13,46.2,0.7,4.0,33.3,7,28.6,2,50.0
DHO Screener,1.19,5.4,1,50.0,0.4,1.0,20.0,5,20.0,0,N/A,1.3,13.9,54.8,19,57.9,12,50.0
DBL Ball Handler,1.32,1.4,2,71.4,0.5,0.8,50.0,2,50.0,0,N/A,1.87,2.4,80.0,3,100.0,2,50.0
DBL Screener,1.84,0.7,0,75.0,1.84,1.0,75.0,2,100.0,2,50.0,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.08,23.7,18,49.6,1.07,20.2,50.0,53,54.7,21,38.1,1.09,30.5,49.2,34,61.8,29,34.5
TRANSITION,1.34,17.3,6,59.8,1.33,14.5,60.3,43,67.4,15,40.0,1.35,22.7,59.2,24,83.3,25,36.0
Attacking Closeouts,0.85,3.9,3,39.1,0.86,4.6,38.9,13,38.5,5,40.0,0.83,2.4,40.0,3,33.3,2,50.0
Catch & Shoot,0.92,8.8,0,31.2,0.89,13.1,30.2,2,50.0,61,29.5,3.0,0.4,100.0,0,N/A,1,100.0
Off Ball Screens,0.93,4.2,3,33.3,1.03,5.8,36.8,11,27.3,8,50.0,0.0,1.2,0.0,1,0.0,1,0.0
Cutting,1.31,5.8,2,64.9,1.31,7.9,64.7,34,64.7,0,N/A,1.25,1.6,66.7,1,100.0,2,50.0
Off. Rebounds,1.31,3.7,1,58.3,1.32,4.1,61.1,17,64.7,1,0.0,1.29,2.8,50.0,1,0.0,5,60.0
TOTAL,1.13,731,7.1,50.1,1.12,65.8,49.3,256,55.1,150,39.3,1.15,34.2,51.7,112,62.5,97,39.2
