,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.5,47.1,0,62.5,1.67,60.0,66.7,1,100.0,2,50.0,1.4,41.7,60.0,2,100.0,3,33.3
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,0.0,11.8,0,0.0,N/A,0.0,N/A,0,N/A,0,N/A,0.0,16.7,0.0,1,0.0,1,0.0
DHO Screener,0.0,5.9,0,0.0,N/A,0.0,N/A,0,N/A,0,N/A,0.0,8.3,0.0,1,0.0,0,N/A
DBL Ball Handler,0.0,5.9,0,0.0,N/A,0.0,N/A,0,N/A,0,N/A,0.0,8.3,0.0,0,N/A,1,0.0
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.0,17.6,1,0.0,0.0,20.0,0.0,1,0.0,0,N/A,0.0,16.7,0.0,0,N/A,1,0.0
TRANSITION,1.14,5.2,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,1.14,7.3,N/A,0,N/A,0,N/A
Attacking Closeouts,1.5,11.8,0,50.0,3.0,20.0,100.0,0,N/A,1,100.0,0.0,8.3,0.0,1,0.0,0,N/A
Catch & Shoot,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,0.89,17,5.9,37.5,1.6,29.4,60.0,2,50.0,3,66.7,0.62,70.6,27.3,5,40.0,6,16.7
