Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,6,3,2,1,0,0,11,4,5,0,0,6,1
shoot2FGM,5,2,0,0,0,0,5,0,1,0,0,4,1
shoot2FTA,0,2,0,0,0,0,2,2,5,0,0,2,0
shoot2FTM,0,1,0,0,0,0,0,1,4,0,0,1,0
shoot2TO,0,0,0,0,0,0,1,0,0,0,0,0,1
shoot3FGA,4,1,1,0,0,0,0,0,1,19,1,0,0
shoot3FGM,1,0,0,0,0,0,0,0,1,5,1,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,0,0,0,0,0,0,0
pass2FGA,7,0,2,2,0,0,2,1,2,0,0,1,0
pass2FGM,5,0,1,0,0,0,1,0,0,0,0,1,0
pass2FTA,4,0,0,0,0,0,2,2,0,0,0,0,0
pass2FTM,2,0,0,0,0,0,1,1,0,0,0,0,0
pass2TO,0,0,0,0,0,0,1,0,2,0,0,0,0
pass3FGA,9,0,1,1,1,0,5,2,2,0,0,1,0
pass3FGM,3,0,0,0,0,0,2,1,1,0,0,0,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,0,0,0,0,0,2,0,0,0,0,0,0
