Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,8,0,1,0,0,0,7,2,2,0,1,5,0
shoot2FGM,7,0,1,0,0,0,2,1,1,0,0,5,0
shoot2FTA,6,0,0,0,2,0,3,0,0,0,0,0,0
shoot2FTM,6,0,0,0,2,0,3,0,0,0,0,0,0
shoot2TO,0,0,0,0,0,0,1,0,0,0,0,0,1
shoot3FGA,8,0,3,0,1,0,12,3,2,5,6,0,0
shoot3FGM,2,0,0,0,0,0,3,1,1,5,3,0,0
shoot3FTA,0,0,0,0,0,0,0,3,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,3,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,1,1,0,0,0,0,0
pass2FGA,4,0,2,0,0,0,3,3,0,0,0,0,0
pass2FGM,3,0,0,0,0,0,2,2,0,0,0,0,0
pass2FTA,2,0,0,0,0,0,2,0,0,0,0,2,0
pass2FTM,2,0,0,0,0,0,0,0,0,0,0,2,0
pass2TO,2,0,0,0,0,0,0,1,0,0,0,0,0
pass3FGA,4,0,4,0,2,0,6,1,1,0,1,0,0
pass3FGM,1,0,0,0,1,0,4,0,0,0,0,0,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,2,0,0,0,0,0,2,0,0,0,0,0,0
