,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.17,27.2,4,54.2,1.39,24.5,56.2,8,87.5,8,25.0,0.85,32.2,50.0,4,75.0,4,25.0
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,0.2,8.6,0,10.0,0.5,5.3,25.0,1,100.0,3,0.0,0.0,15.0,0.0,2,0.0,4,0.0
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,1.29,3.3,0,33.3,1.06,2.5,0.0,0,N/A,1,0.0,1.5,5.0,50.0,0,N/A,2,50.0
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.94,29.5,4,39.3,0.72,29.4,26.3,7,28.6,12,25.0,1.35,29.7,66.7,3,66.7,6,66.7
TRANSITION,0.97,10.6,2,44.4,1.09,9.6,40.0,2,50.0,3,33.3,0.8,12.5,50.0,3,66.7,1,0.0
Attacking Closeouts,1.0,4.3,0,40.0,1.25,5.3,50.0,2,50.0,2,50.0,0.0,2.5,0.0,0,N/A,1,0.0
Catch & Shoot,3.0,4.3,0,100.0,3.0,6.6,100.0,0,N/A,5,100.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,1.12,6.9,0,37.5,1.29,9.2,42.9,1,0.0,6,50.0,0.0,2.5,0.0,0,N/A,1,0.0
Cutting,2.04,5.1,0,100.0,2.0,6.6,100.0,5,100.0,0,N/A,2.27,2.2,N/A,0,N/A,0,N/A
Off. Rebounds,0.0,0.9,1,N/A,0.0,1.3,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.1,116,9.5,46.4,1.22,65.5,48.5,26,65.4,40,37.5,0.89,34.5,41.9,12,58.3,19,31.6
