,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
PNR Screener,0.0,6.2,1,N/A,N/A,0.0,N/A,0,N/A,0,N/A,0.0,10.0,N/A,0,N/A,0,N/A
DHO Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.0,12.5,1,0.0,N/A,0.0,N/A,0,N/A,0,N/A,0.0,20.0,0.0,0,N/A,1,0.0
TRANSITION,1.67,18.8,1,100.0,N/A,0.0,N/A,0,N/A,0,N/A,1.67,30.0,100.0,1,100.0,1,100.0
Attacking Closeouts,2.08,18.0,0,100.0,2.0,16.7,100.0,1,100.0,0,N/A,2.13,18.8,100.0,0,N/A,1,100.0
Catch & Shoot,2.25,25.0,0,75.0,2.0,50.0,66.7,0,N/A,3,66.7,3.0,10.0,100.0,0,N/A,1,100.0
Off Ball Screens,1.0,18.8,0,33.3,1.5,33.3,50.0,0,N/A,2,50.0,0.0,10.0,0.0,0,N/A,1,0.0
Cutting,1.06,11.8,0,0.0,2.27,14.7,N/A,0,N/A,0,N/A,0.0,10.0,0.0,0,N/A,1,0.0
Off. Rebounds,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.41,16,18.8,61.5,1.89,37.5,66.7,1,100.0,5,60.0,1.1,62.5,57.1,1,100.0,6,50.0
