,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.28,11.4,6,56.8,1.45,11.8,58.1,15,73.3,16,43.8,0.95,10.6,53.8,6,83.3,7,28.6
PNR Screener,1.08,3.0,2,50.0,1.23,1.5,50.0,4,50.0,0,N/A,1.0,5.6,50.0,4,50.0,4,50.0
DHO Ball Handler,0.5,5.3,2,20.8,0.87,4.7,35.7,4,50.0,10,30.0,0.0,6.2,0.0,5,0.0,5,0.0
DHO Screener,0.82,4.5,2,35.0,0.0,1.3,0.0,3,0.0,1,0.0,1.0,10.1,43.8,4,75.0,12,33.3
DBL Ball Handler,1.02,1.0,0,25.0,1.06,0.6,0.0,0,N/A,1,0.0,1.0,1.7,33.3,1,0.0,2,50.0
DBL Screener,1.5,0.4,0,50.0,1.5,0.6,50.0,1,0.0,1,100.0,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.89,22.9,16,41.6,0.78,18.3,34.0,28,42.9,19,21.1,1.01,31.3,50.0,13,84.6,29,34.5
TRANSITION,1.03,12.1,9,51.1,1.0,11.4,48.3,23,52.2,6,33.3,1.09,13.4,55.6,8,75.0,10,40.0
Attacking Closeouts,1.14,5.0,0,45.5,1.11,3.7,50.0,4,75.0,6,33.3,1.16,7.2,41.7,1,100.0,11,36.4
Catch & Shoot,1.06,14.0,0,36.2,1.01,21.2,34.3,2,50.0,65,33.8,2.5,1.1,100.0,1,100.0,1,100.0
Off Ball Screens,1.38,7.5,1,53.1,1.48,8.7,52.0,6,66.7,19,47.4,1.07,5.2,57.1,4,100.0,3,0.0
Cutting,1.64,9.5,3,83.3,1.66,12.2,83.9,31,83.9,0,N/A,1.56,4.7,80.0,2,100.0,3,66.7
Off. Rebounds,1.39,3.8,2,64.3,1.19,4.0,62.5,8,62.5,0,N/A,1.83,3.4,66.7,1,100.0,5,60.0
TOTAL,1.1,494,8.7,47.5,1.14,64.0,46.9,129,60.5,144,34.7,1.03,36.0,48.6,50,72.0,92,35.9
