,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,2.29,15.2,0,85.7,2.2,14.7,80.0,1,100.0,4,75.0,2.5,16.7,100.0,1,100.0,1,100.0
PNR Screener,0.0,2.2,0,0.0,N/A,0.0,N/A,0,N/A,0,N/A,0.0,8.3,0.0,0,N/A,1,0.0
DHO Ball Handler,1.0,6.5,0,33.3,1.5,5.9,50.0,0,N/A,2,50.0,0.0,8.3,0.0,1,0.0,0,N/A
DHO Screener,0.0,2.2,0,0.0,N/A,0.0,N/A,0,N/A,0,N/A,0.0,8.3,0.0,0,N/A,1,0.0
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,3.0,2.2,0,100.0,3.0,2.9,100.0,0,N/A,1,100.0,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.4,17.1,1,66.7,1.23,14.4,50.0,2,100.0,2,0.0,1.67,25.0,100.0,1,100.0,1,100.0
TRANSITION,0.57,15.2,2,40.0,0.4,14.7,33.3,2,50.0,1,0.0,1.0,16.7,50.0,1,100.0,1,0.0
Attacking Closeouts,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Catch & Shoot,1.0,13.0,0,33.3,1.0,17.6,33.3,0,N/A,6,33.3,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,1.32,28.0,0,50.0,1.4,29.4,50.0,2,50.0,8,50.0,1.04,24.0,50.0,1,100.0,1,0.0
Cutting,0.0,2.2,0,0.0,0.0,2.9,0.0,1,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.26,46,6.5,51.2,1.29,73.9,50.0,8,62.5,24,45.8,1.16,26.1,54.5,5,80.0,6,33.3
