,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.5,4.4,1,100.0,3.0,2.7,100.0,0,N/A,1,100.0,0.0,12.5,N/A,0,N/A,0,N/A
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.94,30.8,1,50.0,0.92,29.4,55.6,8,62.5,1,0.0,1.0,37.5,33.3,0,N/A,3,33.3
TRANSITION,1.36,13.1,0,60.0,1.36,15.9,60.0,5,60.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Attacking Closeouts,1.25,8.9,0,50.0,2.0,2.7,100.0,1,100.0,0,N/A,1.0,37.5,33.3,0,N/A,3,33.3
Catch & Shoot,0.46,28.9,0,15.4,0.46,35.1,15.4,0,N/A,13,15.4,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,2.0,2.2,0,100.0,2.0,2.7,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,1.2,11.1,1,75.0,1.5,10.8,75.0,4,75.0,0,N/A,0.0,12.5,N/A,0,N/A,0,N/A
Off. Rebounds,2.27,2.0,0,N/A,2.27,2.4,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,0.99,45,6.7,45.0,1.04,82.2,47.1,19,68.4,15,20.0,0.75,17.8,33.3,0,nan,6,33.3
