,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.14,15.4,5,56.2,1.42,15.5,58.3,5,80.0,7,42.9,0.62,15.1,50.0,2,50.0,2,50.0
PNR Screener,0.71,4.7,2,40.0,0.0,2.1,0.0,2,0.0,0,N/A,1.0,9.4,66.7,2,50.0,1,100.0
DHO Ball Handler,0.0,2.7,1,0.0,N/A,0.0,N/A,0,N/A,0,N/A,0.0,7.5,0.0,2,0.0,1,0.0
DHO Screener,1.0,1.4,0,50.0,0.0,1.1,0.0,1,0.0,0,N/A,2.0,1.9,100.0,1,100.0,0,N/A
DBL Ball Handler,1.74,1.9,0,50.0,2.27,0.9,N/A,0,N/A,0,N/A,1.5,3.8,50.0,0,N/A,2,50.0
DBL Screener,3.0,0.7,0,100.0,3.0,1.1,100.0,0,N/A,1,100.0,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.9,25.5,6,43.3,1.1,22.9,50.0,11,63.6,7,28.6,0.62,30.2,33.3,3,66.7,9,22.2
TRANSITION,0.75,12.7,4,38.5,0.84,12.5,40.0,8,50.0,2,0.0,0.58,13.0,33.3,3,33.3,0,N/A
Attacking Closeouts,0.68,4.0,0,20.0,0.0,2.1,0.0,1,0.0,1,0.0,1.03,7.3,33.3,0,N/A,3,33.3
Catch & Shoot,1.07,9.5,0,35.7,1.07,14.7,35.7,0,N/A,14,35.7,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,0.91,7.4,1,40.0,0.86,7.4,28.6,0,N/A,7,28.6,1.0,7.5,66.7,2,100.0,1,0.0
Cutting,1.26,10.7,2,69.2,1.32,13.6,72.7,11,72.7,0,N/A,1.0,5.7,50.0,0,N/A,2,50.0
Off. Rebounds,1.19,4.0,1,75.0,1.19,6.2,75.0,4,75.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,0.97,148,14.9,45.8,1.1,64.2,47.6,43,60.5,39,33.3,0.74,35.8,41.7,15,53.3,21,33.3
