Shot Type,ALLEN,MOBLEY,LEVERT,WADE,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,21,19,1,0,0,27,10,9,23,1,0,0
shoot2FGM,11,8,1,0,0,8,5,5,16,1,0,0
shoot2FTA,6,4,0,0,0,13,4,6,0,2,0,0
shoot2FTM,7,4,0,0,0,9,4,4,0,2,0,0
shoot2TO,1,2,0,0,0,2,2,0,0,0,0,0
shoot3FGA,6,4,0,0,0,21,3,0,0,2,0,0
shoot3FGM,4,1,0,0,0,5,2,0,0,1,0,0
shoot3FTA,0,0,0,0,0,0,3,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,3,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,0,0,0,0,0,0
pass2FGA,8,9,1,0,0,6,6,0,0,1,0,0
pass2FGM,5,8,1,0,0,5,5,0,0,1,0,0
pass2FTA,0,4,0,0,0,2,0,2,0,0,0,0
pass2FTM,0,0,0,0,0,1,0,0,0,0,0,0
pass2TO,2,2,0,0,0,0,1,0,0,0,0,0
pass3FGA,9,3,0,0,0,7,6,2,0,0,0,0
pass3FGM,2,1,0,0,0,5,2,1,0,0,0,0
pass3FTA,0,0,0,0,0,3,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,3,0,0,0,0,0,0
pass3TO,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
