Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,26,9,0,0,0,0,43,9,9,1,1,8,7
shoot2FGM,14,5,0,0,0,0,17,6,6,1,1,7,6
shoot2FTA,10,1,2,0,0,0,9,4,2,0,0,3,3
shoot2FTM,9,0,2,0,0,0,9,3,2,0,0,2,3
shoot2TO,1,1,1,0,0,0,2,2,0,0,0,1,0
shoot3FGA,11,3,7,1,0,0,4,4,0,22,3,0,0
shoot3FGM,6,0,3,0,0,0,1,3,0,11,1,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,1,1,0,1,0,0,0
pass2FGA,11,0,1,0,0,0,9,5,1,0,0,2,0
pass2FGM,7,0,0,0,0,0,9,4,0,0,0,1,0
pass2FTA,1,0,0,2,0,0,1,0,0,0,0,2,0
pass2FTM,0,0,0,2,0,0,1,0,0,0,0,1,0
pass2TO,4,1,1,0,0,0,2,0,0,0,1,0,0
pass3FGA,8,2,1,7,0,0,7,5,2,2,0,0,1
pass3FGM,2,1,0,3,0,0,4,4,2,2,0,0,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,1,0,0,0,0,1,0,0,0,0,0,0
