,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.75,13.6,3,60.0,0.4,12.8,33.3,2,50.0,1,0.0,1.33,15.0,100.0,2,100.0,0,N/A
PNR Screener,3.0,1.7,0,100.0,N/A,0.0,N/A,0,N/A,0,N/A,3.0,5.0,100.0,0,N/A,1,100.0
DHO Ball Handler,1.5,3.4,0,50.0,0.0,2.6,0.0,0,N/A,1,0.0,3.0,5.0,100.0,0,N/A,1,100.0
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.15,11.7,0,0.0,0.0,10.3,0.0,3,0.0,1,0.0,0.35,14.4,0.0,0,N/A,2,0.0
TRANSITION,1.02,21.6,1,40.0,1.35,22.8,57.1,4,50.0,3,66.7,0.26,19.4,0.0,1,0.0,2,0.0
Attacking Closeouts,1.04,32.5,1,43.8,0.98,28.7,44.4,9,44.4,0,N/A,1.12,40.0,42.9,0,N/A,7,42.9
Catch & Shoot,0.0,13.6,0,0.0,0.0,17.9,0.0,0,N/A,7,0.0,0.0,5.0,0.0,0,N/A,1,0.0
Off Ball Screens,3.0,1.7,0,100.0,3.0,2.6,100.0,0,N/A,1,100.0,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,2.13,3.2,0,100.0,2.13,4.8,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,0.87,59,8.5,36.0,0.8,66.1,33.3,19,42.1,14,21.4,1.01,33.9,41.2,3,66.7,14,35.7
