,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.68,9.7,1,28.6,0.4,7.7,25.0,2,50.0,2,0.0,1.03,14.4,33.3,1,0.0,2,50.0
PNR Screener,3.0,1.1,0,100.0,3.0,1.5,100.0,0,N/A,1,100.0,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,3.0,1.1,0,100.0,3.0,1.5,100.0,0,N/A,1,100.0,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,0.67,3.3,0,33.3,0.67,4.6,33.3,3,33.3,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.61,31.9,3,32.0,0.86,26.8,50.0,11,54.5,3,33.3,0.25,44.0,9.1,4,25.0,7,0.0
TRANSITION,1.03,20.0,3,53.3,0.83,13.0,42.9,6,50.0,1,0.0,1.2,37.0,62.5,4,75.0,4,50.0
Attacking Closeouts,1.33,13.0,1,63.6,1.0,15.4,55.6,8,62.5,1,0.0,3.0,7.4,100.0,0,N/A,2,100.0
Catch & Shoot,0.0,10.9,0,0.0,0.0,15.4,0.0,0,N/A,10,0.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,2.2,0,0.0,0.0,3.1,0.0,2,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,1.19,6.4,0,60.0,1.19,9.0,60.0,5,60.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,1.0,2.2,0,50.0,1.0,3.1,50.0,2,50.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,0.81,92,8.7,39.0,0.78,70.7,39.7,39,51.3,19,15.8,0.9,29.3,37.5,9,44.4,15,33.3
