,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
PNR Screener,3.0,13.1,0,100.0,3.0,10.3,100.0,0,N/A,12,100.0,3.0,28.6,100.0,0,N/A,6,100.0
DHO Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,0.0,3.6,0,0.0,0.0,4.3,0.0,0,N/A,5,0.0,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.67,13.1,0,33.3,0.67,15.5,33.3,18,33.3,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TRANSITION,3.0,3.6,0,100.0,3.0,4.3,100.0,0,N/A,5,100.0,N/A,0.0,N/A,0,N/A,0,N/A
Attacking Closeouts,1.0,25.5,0,44.4,1.18,22.0,54.5,17,70.6,5,0.0,0.53,44.8,0.0,0,N/A,5,0.0
Catch & Shoot,1.29,25.5,6,58.6,1.14,25.0,47.8,0,N/A,23,47.8,2.0,28.6,100.0,6,100.0,0,N/A
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,2.0,4.4,0,100.0,2.0,5.2,100.0,6,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,2.07,12.0,0,100.0,2.07,14.1,100.0,12,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.5,137,4.4,63.3,1.47,84.7,62.1,53,67.9,50,56.0,1.64,15.3,70.6,6,100.0,11,54.5
